movie,C_name0,year0,E_name0,C_name1,year1,E_name1,similarity1,url1,C_name2,year2,E_name2,similarity2,url2,C_name3,year3,E_name3,similarity3,url3
33493,星際大戰三部曲：西斯大帝的復仇,2005,Star Wars: Episode III - Revenge of the Sith,決戰3:10,2007,3:10 to Yuma,0.9861913755929484,http://www.imdb.com/title/tt0381849,功夫熊貓,2008,Kung Fu Panda,0.9827914896594584,http://www.imdb.com/title/tt0441773,哈利波特：混血王子的背叛,2009,Harry Potter and the Half-Blood Prince,0.9796675087359772,http://www.imdb.com/title/tt0417741
50872,料理鼠王,2007,Ratatouille,猩球崛起,2011,Rise of the Planet of the Apes,0.9919596914935292,http://www.imdb.com/title/tt1318514,馴龍高手,2010,How to Train Your Dragon,0.987680356718763,http://www.imdb.com/title/tt0892769,哈利波特：混血王子的背叛,2009,Harry Potter and the Half-Blood Prince,0.9859376840018084,http://www.imdb.com/title/tt0417741
69757,戀夏(500日),2009,(500) Days of Summer,哈利波特：死神的聖物Ⅱ,2011,Harry Potter and the Deathly Hallows: Part 2,0.9952374887909168,http://www.imdb.com/title/tt1201607,哈利波特：死神的聖物Ⅰ,2010,Harry Potter and the Deathly Hallows: Part 1,0.992560424830742,http://www.imdb.com/title/tt0926084,哈利波特：混血王子的背叛,2009,Harry Potter and the Half-Blood Prince,0.9875503809511552,http://www.imdb.com/title/tt0417741
33794,蝙蝠俠：開戰時刻,2005,Batman Begins,決戰3:10,2007,3:10 to Yuma,0.9980719212318852,http://www.imdb.com/title/tt0381849,美國隊長2：酷寒戰士,2014,Captain America: The Winter Soldier,0.9929998439152158,http://www.imdb.com/title/tt1843866,奪天書,2010,The Book of Eli,0.9922883596079888,http://www.imdb.com/title/tt1037705
260,星際大戰四部曲：曙光乍現,1977,Star Wars,蓋世梟雄,1948,Key Largo,0.9931372371479168,http://www.imdb.com/title/tt0040506,美國隊長2：酷寒戰士,2014,Captain America: The Winter Soldier,0.9901751454758656,http://www.imdb.com/title/tt1843866,岸上風雲,1954,On the Waterfront,0.9900819098792748,http://www.imdb.com/title/tt0047296
364,獅子王,1994,The Lion King,捉賊記,1955,To Catch a Thief,0.9924788161109088,http://www.imdb.com/title/tt0048728,絕命終結站,2000,Final Destination,0.9904788908734532,http://www.imdb.com/title/tt0195714,岸上風雲,1954,On the Waterfront,0.9904316943213356,http://www.imdb.com/title/tt0047296
1299,殺戮戰場,1984,The Killing Fields,大寒,1983,The Big Chill,0.9962639831366594,http://www.imdb.com/title/tt0085244,終極警探2,1990,Die Hard 2,0.9955310758070672,http://www.imdb.com/title/tt0099423,岸上風雲,1954,On the Waterfront,0.995431359308266,http://www.imdb.com/title/tt0047296
6874,追殺比爾,2003,Kill Bill: Vol. 1,決戰3:10,2007,3:10 to Yuma,0.9964245275060652,http://www.imdb.com/title/tt0381849,忘掉負心女,2008,Forgetting Sarah Marshall,0.9899309495883896,http://www.imdb.com/title/tt0800039,真實的勇氣,2010,True Grit,0.9897328303067998,http://www.imdb.com/title/tt1403865
78499,玩具總動員3,2010,Toy Story 3,社群網戰,2010,The Social Network,0.992247021997272,http://www.imdb.com/title/tt1285016,王者之聲：宣戰時刻,2010,The King's Speech,0.9908347030676772,http://www.imdb.com/title/tt1504320,真實的勇氣,2010,True Grit,0.9906946575056172,http://www.imdb.com/title/tt1403865
44195,銘謝吸煙,2005,Thank You for Smoking,歪小子史考特,2010,Scott Pilgrim vs. the World,0.9886465623306888,http://www.imdb.com/title/tt0446029,王者之聲：宣戰時刻,2010,The King's Speech,0.988443206212388,http://www.imdb.com/title/tt1504320,真實的勇氣,2010,True Grit,0.9878289897745252,http://www.imdb.com/title/tt1403865
2762,靈異第六感,1999,The Sixth Sense,霍爾的移動城堡,2004,Hauru no ugoku shiro,0.9916900200169728,http://www.imdb.com/title/tt0347149,告別昨日,1979,Breaking Away,0.9909395499644912,http://www.imdb.com/title/tt0078902,真實的勇氣,2010,True Grit,0.9908617018754621,http://www.imdb.com/title/tt1403865
46970,王牌飆風,2006,Talladega Nights: The Ballad of Ricky Bobby,男孩我最壞,2007,Superbad,0.9804522293623668,http://www.imdb.com/title/tt0829482,忘掉負心女,2008,Forgetting Sarah Marshall,0.9686983223299114,http://www.imdb.com/title/tt0800039,300壯士：斯巴達的逆襲,2006,300,0.9583809955542294,http://www.imdb.com/title/tt0416449
6754,風塵怪俠,2003,Underworld,機械公敵,2004,"I, Robot",0.9868180930404266,http://www.imdb.com/title/tt0343818,哈利波特：火盃的考驗,2005,Harry Potter and the Goblet of Fire,0.9780753548661114,http://www.imdb.com/title/tt0330373,300壯士：斯巴達的逆襲,2006,300,0.9767947414765624,http://www.imdb.com/title/tt0416449
5219,惡靈古堡,2002,Resident Evil,我是傳奇,2007,I Am Legend,0.9853938461304416,http://www.imdb.com/title/tt0480249,神鬼認證：最後通牒,2007,The Bourne Ultimatum,0.9824937950863728,http://www.imdb.com/title/tt0440963,300壯士：斯巴達的逆襲,2006,300,0.9798087809426324,http://www.imdb.com/title/tt0416449
6373,王牌天神,2003,Bruce Almighty,銘謝吸煙,2005,Thank You for Smoking,0.9900004719734756,http://www.imdb.com/title/tt0427944,X戰警：最後戰役,2006,X-Men: The Last Stand,0.9870703678816504,http://www.imdb.com/title/tt0376994,300壯士：斯巴達的逆襲,2006,300,0.9850099878928223,http://www.imdb.com/title/tt0416449
32587,萬惡城市,2005,Sin City,決戰3:10,2007,3:10 to Yuma,0.9970734499727496,http://www.imdb.com/title/tt0381849,2009月球漫遊,2009,Moon,0.9966416692483424,http://www.imdb.com/title/tt1182345,時空線索,2006,Deja Vu,0.992695792393885,http://www.imdb.com/title/tt0453467
1884,賭城風情畫,1998,Fear and Loathing in Las Vegas,七夜怪譚,2002,The Ring,0.9972230968642978,http://www.imdb.com/title/tt0298130,2009月球漫遊,2009,Moon,0.9930320859169741,http://www.imdb.com/title/tt1182345,布萊德彼特之即刻毀滅,2008,Burn After Reading,0.9903085407301698,http://www.imdb.com/title/tt0887883
5010,黑鷹計畫,2001,Black Hawk Down,頂尖對決,2006,The Prestige,0.9934939166007064,http://www.imdb.com/title/tt0482571,2009月球漫遊,2009,Moon,0.9909584735418588,http://www.imdb.com/title/tt1182345,危機倒數,2008,The Hurt Locker,0.9877482715328141,http://www.imdb.com/title/tt0887912
608,冰血暴,1996,Fargo,索命黃道帶,2007,Zodiac,0.9944142648502354,http://www.imdb.com/title/tt0443706,岸上風雲,1954,On the Waterfront,0.994154953822762,http://www.imdb.com/title/tt0047296,危機倒數,2008,The Hurt Locker,0.9938635021467932,http://www.imdb.com/title/tt0887912
48394,羊男的迷宮,2006,El laberinto del fauno,黑幕謎情,2007,Eastern Promises,0.9851985148913268,http://www.imdb.com/title/tt0765443,2009月球漫遊,2009,Moon,0.984786488154278,http://www.imdb.com/title/tt1182345,星際效應,2014,Interstellar,0.9847570633077892,http://www.imdb.com/title/tt0816692
106920,雲端情人,2013,Her,人造意識,2014,Ex Machina,0.9922803408886468,http://www.imdb.com/title/tt0470752,絕地救援,2015,The Martian,0.9903086002878516,http://www.imdb.com/title/tt3659388,星際效應,2014,Interstellar,0.984188147491321,http://www.imdb.com/title/tt0816692
81591,黑天鵝,2010,Black Swan,月昇冒險王國,2012,Moonrise Kingdom,0.9896841147668513,http://www.imdb.com/title/tt1748122,鳥人,2014,Birdman or (The Unexpected Virtue of Ignorance),0.9824831486190562,http://www.imdb.com/title/tt2562232,星際效應,2014,Interstellar,0.9771282208689248,http://www.imdb.com/title/tt0816692
122882,瘋狂麥斯：憤怒道,2015,Mad Max: Fury Road,惡棍英雄：死侍,2016,Deadpool,0.9561959929545594,http://www.imdb.com/title/tt1431045,STAR WARS：原力覺醒,2015,Star Wars: Episode VII - The Force Awakens,0.9558253867452094,http://www.imdb.com/title/tt2488496,蟻人,2015,Ant-Man,0.9482878314212632,http://www.imdb.com/title/tt0478970
